,ProdTaken,PreferredLoginDevice,CityTier,Occupation,Gender,ProductPitched,PreferredPropertyStar,MaritalStatus,Passport,OwnCar,Designation,Age,DurationOfPitch,NumberOfPersonVisited,NumberOfFollowups,NumberOfTrips,PitchSatisfactionScore,NumberOfChildrenVisited,MonthlyIncome
0,Yes,Self Enquiry,Tier-3,Salaried,Female,Super Deluxe,3 Star,Single,Yes,Yes,Manager,41.0,6.0,3.0,3.0,1.0,2.0,0.0,20993.0
1,No,Company Invited,Tier-1,Salaried,Male,Super Deluxe,4 Star,Divorced,No,Yes,Manager,49.0,14.0,3.0,4.0,2.0,3.0,2.0,20130.0
2,Yes,Self Enquiry,Tier-1,Free Lancer,Male,Multi,3 Star,Single,Yes,No,Executive,37.0,8.0,3.0,4.0,7.0,3.0,0.0,17090.0
3,No,Company Invited,Tier-1,Salaried,Female,Multi,3 Star,Divorced,Yes,Yes,Executive,33.0,9.0,2.0,3.0,2.0,5.0,1.0,17909.0
4,No,Self Enquiry,Tier-1,Small Business,Male,Multi,4 Star,Divorced,No,Yes,Executive,33.908223063238694,8.0,2.0,3.0,1.0,5.0,0.0,18468.0
5,No,Company Invited,Tier-1,Salaried,Male,Multi,3 Star,Single,No,Yes,Executive,32.0,8.0,3.0,3.0,1.0,5.0,1.0,18068.0
6,No,Self Enquiry,Tier-1,Small Business,Female,Multi,5 Star,Divorced,Yes,Yes,Executive,59.0,9.0,2.0,2.0,5.0,2.0,1.0,17670.0
7,No,Self Enquiry,Tier-1,Salaried,Male,Multi,3 Star,Married,No,No,Executive,30.0,30.0,3.0,3.0,2.0,2.0,1.0,17693.0
8,No,Company Invited,Tier-1,Salaried,Male,Standard,3 Star,Unmarried,No,No,Senior Manager,38.0,29.0,2.0,4.0,1.0,3.0,0.0,24526.0
9,No,Self Enquiry,Tier-1,Small Business,Male,Super Deluxe,3 Star,Divorced,No,Yes,Manager,36.0,33.0,3.0,3.0,7.0,3.0,0.0,20237.0
10,No,Self Enquiry,Tier-1,Small Business,Male,Multi,4 Star,Divorced,No,Yes,Executive,35.0,22.0,2.0,2.0,1.0,3.0,1.0,17426.0
11,No,Self Enquiry,Tier-1,Salaried,Female,Super Deluxe,3 Star,Single,Yes,No,Manager,35.24468836399603,21.0,2.0,4.0,1.0,3.0,0.0,20602.107067284174
12,No,Self Enquiry,Tier-1,Salaried,Male,Multi,3 Star,Married,No,No,Executive,31.0,32.0,2.0,3.0,2.0,3.0,1.0,17911.0
13,No,Self Enquiry,Tier-1,Small Business,Male,Multi,3 Star,Married,No,No,Executive,34.0,25.0,3.0,3.0,1.0,3.0,2.0,17661.0
14,Yes,Self Enquiry,Tier-1,Salaried,Male,Multi,3 Star,Single,Yes,No,Executive,28.0,30.0,2.0,4.0,6.0,2.0,0.0,17028.0
15,No,Self Enquiry,Tier-1,Salaried,Female,Standard,5 Star,Married,No,Yes,Senior Manager,29.0,27.0,2.0,2.0,2.0,5.0,1.0,24980.0
16,No,Self Enquiry,Tier-1,Salaried,Male,Multi,4 Star,Married,Yes,Yes,Executive,32.0,11.0,3.0,2.0,1.0,2.0,0.0,18298.0
17,No,Company Invited,Tier-1,Small Business,Male,Multi,3 Star,Married,Yes,No,Executive,22.0,22.0,3.0,2.0,2.0,3.0,0.0,17935.0
18,No,Self Enquiry,Tier-3,Salaried,Female,Deluxe,3 Star,Divorced,No,Yes,AVP,53.0,8.0,3.0,4.0,3.0,3.0,0.0,30427.0
19,No,Self Enquiry,Tier-1,Salaried,Male,Multi,3 Star,Single,Yes,No,Executive,40.576450096541635,8.0,2.0,3.0,6.0,4.0,1.0,22283.912326903577
20,No,Company Invited,Tier-1,Salaried,Female,Super Deluxe,3 Star,Married,No,Yes,Manager,35.28513243621411,17.0,3.0,2.0,1.0,3.0,2.0,20855.879078858125
21,Yes,Self Enquiry,Tier-3,Salaried,Male,Super Deluxe,5 Star,Single,No,No,Manager,33.28557842887567,15.0,2.0,4.0,1.0,2.0,0.0,18407.0
22,No,Self Enquiry,Tier-1,Salaried,Female,Standard,4 Star,Unmarried,No,Yes,Senior Manager,34.0,13.0,2.0,3.0,1.0,3.0,0.0,26994.0
23,No,Self Enquiry,Tier-1,Salaried,Male,Multi,3 Star,Single,No,Yes,Executive,21.0,21.0,3.0,3.0,2.0,3.0,1.0,16232.0
24,Yes,Self Enquiry,Tier-1,Small Business,Male,Multi,5 Star,Single,No,Yes,Executive,34.0,12.0,2.0,3.0,3.0,2.0,1.0,17960.0
25,No,Self Enquiry,Tier-1,Salaried,Female,King,3 Star,Married,No,No,VP,53.0,11.0,2.0,3.0,5.0,5.0,1.0,34094.0
26,Yes,Company Invited,Tier-1,Salaried,Female,Multi,5 Star,Single,Yes,Yes,Executive,35.60867259226863,22.0,3.0,5.0,2.0,4.0,2.0,22074.61272168567
27,No,Self Enquiry,Tier-3,Small Business,Male,Super Deluxe,4 Star,Divorced,No,No,Manager,42.0,14.0,2.0,3.0,1.0,3.0,1.0,21825.0
28,No,Self Enquiry,Tier-1,Small Business,Female,Standard,3 Star,Divorced,No,Yes,Senior Manager,44.0,13.0,2.0,4.0,4.0,4.0,0.0,25248.0
29,No,Self Enquiry,Tier-3,Small Business,Female,King,5 Star,Single,No,No,VP,46.0,8.0,2.0,3.0,4.0,2.0,1.0,33947.0
30,No,Self Enquiry,Tier-1,Small Business,Male,Multi,3 Star,Single,No,Yes,Executive,33.0,8.0,3.0,3.0,5.0,3.0,2.0,17496.0
31,No,Self Enquiry,Tier-1,Salaried,Male,Super Deluxe,3 Star,Divorced,Yes,Yes,Manager,44.0,16.0,2.0,3.0,3.0,3.0,1.0,21465.0
32,No,Self Enquiry,Tier-1,Small Business,Male,Multi,3 Star,Single,No,Yes,Executive,30.0,15.0,2.0,4.0,2.0,4.0,1.0,17206.0
33,Yes,Self Enquiry,Tier-3,Large Business,Male,Super Deluxe,3 Star,Divorced,No,No,Manager,39.0,11.0,2.0,3.0,4.0,2.0,1.0,17086.0
